"1999","tv","picture","saw","never","may"
"2000","set","projection","tv","stand","clear"
"2001","xbr","tv","month","disappointed","sony"
"2002","tv","picture","set","better","quality"
"2003","tv","set","picture","cable","screen"
"2004","monitor","tv","dvd","que","set"
"2005","tv","picture","set","lcd","cable"
"2006","tv","amazon","samsung","service","picture"
"2007","tv","samsung","picture","lnt4065f","hd"
"2008","tv","samsung","picture","var","amazon"
"2009","vizio","tv","samsung","input","amazon"
"2010","tv","3d","documentgetelementbyidnsprefix","amazon","cable"
"2011","tv","3d","amazon","red","remote"
"2012","tv","samsung","3d","picture","delivery"
"2013","tv","amazon","video","remote","picture"
"2014","tv","stand","picture","remote","hdmi"
